"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file"
"ST002044","parent",22,1,0.798,1,0.975,-14.7,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",508.34870664,344.107421875,"[M-H]-","NHF_104NEG.mzML"
"ST002044","parent",23,1,0.738,1,0.984,-7.2,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",509.388254001,344.107940673828,"[M-H]-","NHF_24NEG.mzML"
"ST002044","parent",11,1,0.553,1,0.967,-20.6,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",37.36593676602,346.120758056641,"[M+H]+","D8_POS.mzML"
"ST002044","parent",26,1,0.874,1,0.984,-5.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",509.46779143998,346.122406005859,"[M+H]+","D_134.mzML"
"ST002044","parent",28,1,0.904,1,0.976,-6.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",509.53773688002,346.121704101563,"[M+H]+","D_19.mzML"
"ST002044","parent",29,1,0.676,1,0.984,-5.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",507.33395609598,346.122344970703,"[M+H]+","D_41.mzML"
"ST002044","parent",30,1,0.559,1,0.984,-10.3,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",514.93988700702,346.122222900391,"[M+H]+","D_55.mzML"
"ST002044","parent",31,1,0.653,1,0.992,-4.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",514.162789647,346.122467041016,"[M+H]+","D_82.mzML"
"ST002044","parent",32,1,0.934,1,0.992,-5,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",511.25764478202,346.121856689453,"[M+H]+","NHF_24.mzML"
"ST002044","parent",33,1,0.87,1,0.984,-5.4,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",506.15549054202,346.122436523438,"[M+H]+","NHF_45.mzML"
"ST002044","parent",3,2,0.31,1,0.976,-19.5,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",41.06685007998,344.10791015625,"[M-H]-","D55_NEG.mzML"
"ST002044","parent",4,2,0.347,1,0.984,-7.1,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",39.694417599,344.107849121094,"[M-H]-","D82_NEG.mzML"
"ST002044","parent",5,2,0.257,1,0.984,-7.1,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",39.98167641402,344.108154296875,"[M-H]-","NHF24_NEG.mzML"
"ST002044","parent",24,2,0.202,1,0.984,-6.9,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",511.074543489,344.108123779297,"[M-H]-","NHF_45NEG.mzML"
"ST002044","parent",12,2,0.049,1,0.952,-24.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",40.27298187198,346.123107910156,"[M+H]+","NHF104_POS.mzML"
"ST002044","parent",13,2,0.167,1,0.992,-5.4,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",39.775885311,346.123199462891,"[M+H]+","NHF24_POS.mzML"
