"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file"
"MSV000092757","metabolite",16,1,0.877,3,0.917,-33.1,"[M + H]+",NA,TRUE,"standard",203.559,362.116516113281,"[M+H]+","pos_start_QC_2.mzXML"
"MSV000092757","metabolite",17,1,0.386,3,0.881,-45.6,"[M + H]+",NA,TRUE,"standard",203.835,362.11636160515,"[M+H]+","pos_start_QC_3.mzXML"
"MSV000092757","metabolite",18,1,0.962,3,0.924,-25.7,"[M + H]+",NA,TRUE,"standard",202.558,362.116494550916,"[M+H]+","pos_start_QC_4.mzXML"
"MSV000092757","metabolite",19,1,0.958,3,0.924,-26.8,"[M + H]+",NA,TRUE,"standard",201.778,362.116255144851,"[M+H]+","pos_start_QC_5.mzXML"
"MSV000092757","metabolite",20,1,0.968,3,0.924,-29.3,"[M + H]+",NA,TRUE,"standard",192.937,362.116380659964,"[M+H]+","pos_uninf_non_7631_male_50_192_B_B8.mzXML"
"MSV000092757","metabolite",21,1,0.824,3,0.924,-26.2,"[M + H]+",NA,TRUE,"standard",185.638,362.116434405053,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML"
"MSV000092757","metabolite",22,1,0.962,3,0.924,-29.3,"[M + H]+",NA,TRUE,"standard",187.123,362.116455455858,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
"MSV000094097","parent",1,1,0.893,1,0.967,-28.6,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",214.056774,346.1222512219,"[M+H]+","VAOAD_010_Day15_P.mzML"
"MSV000094097","parent",2,2,0.006,1,0.984,-10,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",215.5644,346.12198898458,"[M+H]+","VAOAD_010_Day15_S.mzML"
"MSV000094097","metabolite",1,2,0.256,3,0.909,-31.9,"[M + H]+",NA,TRUE,"standard",198.145266,362.11756062027,"[M+H]+","OAD_007_Basal_P.mzML"
"MSV000094097","metabolite",2,2,0.389,3,0.924,-34,"[M + H]+",NA,TRUE,"standard",197.793786,362.117479619232,"[M+H]+","OAD_007_Basal_S.mzML"
"MTBLS11656","parent",1,1,0.521,1,0.915,-52.5,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS11656","parent",2,1,0.859,1,0.92,-55.3,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS11656","parent",3,2,0.306,1,0.967,-22.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS11656","metabolite",2,2,0.183,3,0.924,-31.4,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","parent",2,1,0.882,1,0.871,-50.1,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",3,1,0.984,1,0.96,-8.5,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",4,1,0.96,1,0.984,-6.8,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",5,1,0.953,1,0.984,-7.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",8,1,0.751,1,0.984,-8.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",9,1,0.77,1,0.984,-10,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",10,1,0.697,1,0.976,-11.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",11,1,0.786,1,0.992,-6.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",12,1,0.847,1,0.976,-15.4,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",13,1,0.805,1,0.96,-21.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",15,1,0.925,1,0.984,-7.8,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",17,1,0.498,1,0.838,-47.3,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",21,1,0.877,1,0.976,-7.6,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",22,1,0.809,1,0.922,-49.8,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",7,2,0.385,1,0.992,-8.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","parent",14,2,0.005,1,0.892,-34.2,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
