"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file","source_file","chrom_type","assay","mz_theo","mz_ppm_dev"
"MSV000092757","metabolite",13,1,0.98,3,0.932,-26,"[M + H]+",NA,TRUE,"standard",191.28,362.116253029732,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML","pos_inf_prog_10145_Female_73_267_R_A7.mzXML","Unknown","MSV000092757",362.116903088,-1.79516134842791
"MSV000092757","metabolite",14,1,0.95,3,0.924,-25.4,"[M + H]+",NA,TRUE,"standard",196.435,362.116394811586,"[M+H]+","pos_inf_prog_7107_Male_58_267_R_A2.mzXML","pos_inf_prog_7107_Male_58_267_R_A2.mzXML","Unknown","MSV000092757",362.116903088,-1.40362520959737
"MSV000092757","metabolite",16,1,0.877,3,0.917,-33.1,"[M + H]+",NA,TRUE,"standard",203.559,362.116516113281,"[M+H]+","pos_start_QC_2.mzXML","pos_start_QC_2.mzXML","Unknown","MSV000092757",362.116903088,-1.06864583147715
"MSV000092757","metabolite",17,1,0.386,3,0.881,-45.6,"[M + H]+",NA,TRUE,"standard",203.835,362.11636160515,"[M+H]+","pos_start_QC_3.mzXML","pos_start_QC_3.mzXML","Unknown","MSV000092757",362.116903088,-1.49532608220988
"MSV000092757","metabolite",18,1,0.962,3,0.924,-25.7,"[M + H]+",NA,TRUE,"standard",202.558,362.116494550916,"[M+H]+","pos_start_QC_4.mzXML","pos_start_QC_4.mzXML","Unknown","MSV000092757",362.116903088,-1.12819114636503
"MSV000092757","metabolite",19,1,0.958,3,0.924,-26.8,"[M + H]+",NA,TRUE,"standard",201.778,362.116255144851,"[M+H]+","pos_start_QC_5.mzXML","pos_start_QC_5.mzXML","Unknown","MSV000092757",362.116903088,-1.78932036452306
"MSV000092757","metabolite",20,1,0.968,3,0.924,-29.3,"[M + H]+",NA,TRUE,"standard",192.937,362.116380659964,"[M+H]+","pos_uninf_non_7631_male_50_192_B_B8.mzXML","pos_uninf_non_7631_male_50_192_B_B8.mzXML","Unknown","MSV000092757",362.116903088,-1.44270546759206
"MSV000092757","metabolite",21,1,0.824,3,0.924,-26.2,"[M + H]+",NA,TRUE,"standard",185.638,362.116434405053,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML","pos_uninf_non_7682_female_61_192_B_C3.mzXML","Unknown","MSV000092757",362.116903088,-1.29428630100782
"MSV000092757","metabolite",22,1,0.962,3,0.924,-29.3,"[M + H]+",NA,TRUE,"standard",187.123,362.116455455858,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML","pos_uninf_non_8570_male_53_192_B_H5.mzXML","Unknown","MSV000092757",362.116903088,-1.236153679129
"MSV000094097","parent",1,1,0.893,1,0.967,-28.6,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",214.056774,346.1222512219,"[M+H]+","VAOAD_010_Day15_P.mzML","VAOAD_010_Day15_P.mzML","RP","MSV000094097",346.121988468,0.759136688137858
